global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	a_comp_cor_193	a_comp_cor_194	a_comp_cor_195	a_comp_cor_196	a_comp_cor_197	a_comp_cor_198	a_comp_cor_199	a_comp_cor_200	a_comp_cor_201	a_comp_cor_202	a_comp_cor_203	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04
8834.78640270217	n/a	78053450.78137115	n/a	11796.637634213474	n/a	139160659.47294167	n/a	7048.096709735161	n/a	49675667.22977961	n/a	7073.468590070944	10828.461851831109	n/a	n/a	n/a	n/a	-0.0106720779	-0.0785444139	0.22015243829999998	0.0622287168	0.054963541100000006	-0.8358248009	0.0038731173	0.0029507828	-0.0040321156	-0.0111375407	0.0131060802	-0.0347669499	0.0256586648	-0.0834566677	0.009445685300000001	-0.0686056904	0.0095476098	-0.0269810513	0.0060740817	0.0365064392	-0.0631832298	0.0049192686	-0.021769728	0.0009259575	-0.0425403564	0.0257144661	-0.0560686193	0.0427580116	-0.014702915300000001	0.0742674173	-0.0496979049	0.0390313256	-0.038698700499999995	0.0710684753	-0.0460549381	0.0032110872999999997	-0.0160879817	0.0325196253	-0.042526767	0.0278732645	-0.0091666968	0.0212166771	-0.0397787958	0.0191609775	-0.011596604299999999	0.1372073524	0.2495912146	-0.0517139252	0.0712690708	-0.0144643416	0.18815830649999998	0.0290929925	-0.0548781832	0.07569331309999999	-0.0888890246	0.0440372992	-0.1138445159	0.0228897933	-0.000747607	-0.0466916334	-0.09105250179999999	0.058380741500000013	-0.1141932967	0.0332688603	-0.025195890099999996	0.0209283742	-0.07309881809999999	0.0520574742	-0.0168423192	0.0533840551	-0.0127812111	0.046071867999999995	-0.0314227855	0.0037431562	-0.0829160667	-0.1175528828	0.0708496209	-0.007788532	-0.0180442274	-0.1668979403	0.058925641200000003	-0.0504754339	-0.0078208773	0.0793685	0.0012320378	-0.0197817583	-0.1082425857	0.0071230015	0.0327905591	0.051345857599999996	-0.029760653300000002	-0.0088872523	0.08509442099999999	0.0752033196	-0.07929344599999999	-0.05060539	-0.0655454333	0.0049438878	0.0539580403	0.0113753809	0.015723315	-0.1077548191	0.0812536118	0.07808576910000001	0.0016465251	-0.0663229012	-0.024505767	0.027210022	0.0523914123	0.0334727621	0.0091255922	-0.0895507066	-0.0110959988	-0.0108096278	-0.0171223182	-0.0381928074	0.1250465576	0.0123151476	-0.0129946004	-0.09469424900000001	0.1347400804	0.032540372799999995	0.0025525462	0.022817904500000003	-0.08343560679999999	-0.0873329089	-0.029470306499999998	-0.024402118799999997	0.1439903245	-0.3016886878	0.0181631761	-0.1421227639	0.088439585	-0.26048649960000003	0.044657429699999994	-0.0834436498	0.1348826253	-0.15158516800000002	0.16098802439999998	-0.0815738644	0.1058714933	-0.0037254004	-0.0705621701	0.19367014429999999	0.09372914439999999	-0.110801872	0.025188602	-0.0083340182	0.0291525571	-0.0867440211	0.011299403999999999	-0.006864844100000001	0.1697517516	-0.025492535299999997	0.062329635099999996	-0.0252214062	0.1967174266	0.201257532	-0.0558069613	0.10135776789999999	0.0464036772	-0.0961844974	0.0437991161	0.1205334144	-0.0221666699	-0.0526716158	0.0464416643	-0.0637114065	-0.0180818532	-0.0331415667	0.0869427849	-0.0205076523	-0.07584315679999999	-0.0243136574	0.0673134539	0.057885947	-0.0726841099	-0.008990179499999999	-0.049376486799999994	0.0619768604	0.0349766307	0.0732811874	-0.1096219695	-0.0194504322	-0.0668191262	0.0504282571	0.079169099	-0.0535095441	-0.0401256273	-0.0653648965	0.013082308700000001	0.0077825741	0.021911411000000002	-0.0475626692	-0.039527292799999995	-0.0597501524	-0.0202920103	0.0168754018	0.0724868069	0.0405182786	-0.021934841099999998	-0.0040921913	-0.0288432889	-0.027246985499999998	0.1558144662	0.00511881	-0.0995620129	-0.0226499733	-0.0027655244	0.0995007106	0.09949168539999999	0.099476644	0.0	n/a	n/a	0.0	0.335121	n/a	0.11230608464099999	n/a	0.00220099	n/a	n/a	4.8443569801e-06	-3.00064e-05	n/a	n/a	9.003840409599999e-10	-0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0
8761.772258934247	-73.0141437679231	76768653.11742973	5331.065190162942	11408.667941488347	-387.9696927251262	130157704.19914396	150520.4824732288	7044.349195673667	-3.7475140614942575	49622855.59058824	14.043861641097186	7063.8925602220015	10730.95681596852	1.122028	44.296219	0.008156172100000006	0.00519739	0.0179114665	-0.098845121	0.20631760079999997	-0.074340963	0.0636446933	-0.38633438729999997	0.0310451108	0.0191899411	-0.0394009854	-0.0088199969	0.0441362916	-0.043961250199999996	-0.15744849789999998	0.0667978677	0.0043349188	0.0996622812	-0.1564931491	0.053275429299999996	-0.0714391776	-0.0687135681	0.0178248334	-0.014978137800000001	0.0334282619	0.0838191907	0.061669543099999995	-0.0433732231	0.033207073999999996	-0.008783860899999999	-0.0722869917	-0.122660906	0.0481600317	-0.0418448546	0.0923882957	-0.058067638	0.0552245346	-0.0404934873	0.0324908894	0.047488121900000006	0.0085142273	-0.0225853835	0.0231382452	0.0078753328	0.0453985644	-0.1049269634	-0.013577760900000001	0.1373291297	0.23295942460000002	-0.1195577159	0.0208712018	-0.031059835299999998	0.0342685082	0.0258470715	-0.0023724073999999997	0.0515140959	-0.027629033100000002	0.0357631759	-0.081166367	0.0036466806	0.0815348991	-0.0486858282	-0.017920638	-0.0057687135	0.0609294583	0.0778493765	0.07326236280000001	-0.0407379634	0.054060757699999996	-0.0120358332	0.050851524800000006	0.0168255594	0.1227150333	0.0225165065	-0.0329017718	-0.0306434315	-0.062123497300000004	0.04894417190000002	-0.054465106500000006	-0.0063167039	-0.0512916983	-0.015595865700000001	-0.0293979098	-0.0132757416	0.0619445805	0.0388392282	0.0648830319	-0.0747453678	-0.0755273909	0.1485088648	-0.0004592469000000001	0.0283365136	-0.075922847	-0.0662331562	0.08861638640000001	-0.0833634739	-0.0445558478	-0.0751616581	0.051464071900000005	0.054770275300000004	-0.1118432916	0.129741312	0.0012626428999999999	-0.016067178300000002	-0.017725556599999998	-0.025349184900000002	-0.021201538199999998	0.05529855400000002	0.07391913309999999	0.047682869100000004	0.0854154657	0.0552189825	0.0533477989	0.09880126560000001	-0.10871937039999999	0.0042337981	-0.0401415043	-0.0401478937	0.0936567471	0.1327321401	0.1942689998	0.017523608700000002	-0.0902995432	0.015960314099999998	-0.0160938692	0.0490757275	-0.0449176527	0.023756152000000003	-0.0358199762	-0.0267212029	0.14284661740000001	-0.2524433741	0.10224276970000001	-0.0893330451	0.0427433017	-0.056672219	0.0169377759	-0.0121909495	0.0633958546	-0.072780096	0.0883687551	-0.0552867627	0.0686075399	0.0480228138	-0.050693375199999995	0.011673010800000001	-0.0190436051	-0.0295543046	0.040302667400000006	-0.1058221992	0.0434537221	0.07151223849999999	-0.028631918399999998	0.017379550900000002	0.0372552575	0.0932234875	-0.0189410271	0.021291297400000003	0.0720837764	0.0077881705	0.1038637634	-0.016006231200000002	0.0792265032	-0.0527240097	0.07561299099999999	0.0753036651	0.053822702	-0.057712175199999986	0.13208705839999998	-0.0738740349	0.046490421500000004	0.0690755162	0.0591546857	0.1219437024	-0.06036155	0.0372398537	0.0426448216	0.0327657009	0.1069309144	0.0801299219	0.0300460842	0.0961399592	0.0037197917	-0.0991336558	0.025303408700000002	-0.0715715361	0.041023142900000004	0.0046030618	-0.0550270832	0.0128699079	0.0432571242	0.0244087848	-0.0501494625	-0.2120652787	0.070244943	0.032299279900000005	0.0437509057	0.11977942720000001	-0.0517133452	0.0246999178	-0.02597438	0.069140254	-0.098511139	-0.033263407599999996	-0.0260878892	0.0221245715	-0.0888667635	0.0709400158	0.0275339058	0.0201180823	-0.0178532731	0.099476644	0.0993954336	0.09926013199999999	0.0	0.0	0.0	0.0	0.330702	-0.004419000000000006	0.10936381280400001	1.9527561000000053e-05	-9.424010000000004e-05	-0.0022952301	5.2680812119460114e-06	8.881196448010008e-09	-1.16756e-06	2.883884e-05	8.316786925455999e-10	1.3631963536e-12	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8714.676023008065	-47.09623592618118	75945578.18599167	2218.055438414519	11202.959146422558	-205.70879506578967	125506293.63641284	42316.108367419045	7047.393898149989	3.0447024763216177	49665760.75568169	9.27021316931899	7063.923632505544	10474.284168219085	1.03579	40.89167	0.01541228949999997	0.0116444	0.0387350208	-0.1452344717	0.18763179170000002	0.030303828900000006	-0.0119211723	-0.1561734845	0.0407168174	0.0698198655	-0.0489810718	0.0490022002	-0.0046024844	0.0819731346	0.1172859062	0.071607524	0.0037313466999999998	0.10997856019999999	0.051720164900000004	0.0186851324	0.1213356339	0.008242207199999999	0.0520716637	0.0411838873	-0.0182794617	-0.0006873503	-0.0203548895	0.018716109499999998	0.0604303174	-0.0452293013	0.1128297073	0.0393082654	0.12481799310000001	-0.0503241275	-0.0354493135	-0.1510543688	-0.0297610921	0.013538897	0.0347431867	-0.043303765999999994	0.10278755369999999	-0.0096050323	0.0074316801	-0.1396235527	-0.0411599796	0.032295545499999995	-0.003981444000000001	0.1302226453	0.2654969978	-0.020050181299999997	0.0427503417	0.0531885026	0.09529883	-0.016210511299999997	-0.0194925216	0.0318092446	0.0132460487	0.08421379550000001	-0.0308181083	-0.0043459073	-0.0087739516	-0.08287294889999999	0.0628794871	-0.075875262	0.05031950650000002	-0.0096725944	-0.1634081671	0.0597312645	0.0228274823	0.017604429799999998	-0.0406682712	0.039370938	-0.1063274026	-0.0163080896	-0.0734981368	-0.024689834900000002	0.14379900029999998	0.0004932983	-0.0049623472999999994	-0.09138561949999999	-0.0068912912	0.1593842791	-0.0139532476	-0.0102921016	0.09280699380000001	-0.0557016254	-0.0391436394	0.0664932198	0.0359902873	0.0107467194	-0.036042284	-0.010037279599999999	-0.0072035944999999995	0.0203084755	-0.0295188712	-0.0229308373	-0.0067610988	0.1739623777	-0.061938649900000003	0.0061122975	-0.0036879032000000003	0.13760249060000002	0.0314116133	0.0022034126000000003	0.0772190834	0.013633549299999999	0.2158718891	0.0575510299	-0.0006604638000000001	-0.0315931585	0.0785031629	-0.076833802	-0.12388506140000001	0.07014298320000001	0.028333385	-0.043993585999999994	0.0690448989	0.0027764958	0.12001619919999999	0.0023020656	0.0579602873	0.0677795259	-0.0705380624	-0.0225901986	-0.01863363	-0.0060258427	0.09379835130000001	0.0663219096	0.020466468600000003	-0.0144695123	0.1359911597	-0.25807941440000004	-0.013955331599999999	-0.06594041240000001	-0.0170562962	-0.0925219513	-0.0200397283	-0.0085106122	0.0062004875	0.0088897048	0.0603951812	0.0411315532	-0.0014433292000000002	0.015297322700000001	-0.06102799940000001	-0.11164267630000001	-0.0314001734	0.0608275872	0.1130195317	0.11906558699999999	-0.07949524969999999	-0.0541041383	-0.0169554604	0.0087782707	-0.028573374300000006	-0.120218103	0.022937037099999998	0.06536754089999999	-0.0325738606	-0.11123329380000001	-0.0526114742	0.0412015605	-0.0275445271	0.0633044655	0.0327669149	-0.121627111	0.1220689049	-0.0258705239	-0.0562810505	0.027504573900000003	-0.030359747200000002	0.0353229101	-0.0278488164	-0.0089724151	0.013248006299999998	0.0040926639	-0.07307062639999999	0.0016462607	0.038724569	0.0013378879000000002	-0.1534119306	0.0193869379	0.1225720944	-0.0652933725	-0.0130930556	-0.0723521599	0.054246513899999994	-0.0121385596	0.0810881341	0.1622645833	-0.051089415	0.0322622669	-0.1586676584	0.0732870231	-0.1144468807	0.0354821605	-0.035967466499999996	0.0680682014	-0.0479195815	0.0718328808	0.0244946388	0.0516980317	-0.028054770899999998	-0.0534706515	-0.0790128387	-0.0450839159	-0.159533155	-0.0247655685	0.0551910891	0.0243361999	0.030280461	0.0994285166	0.09920302310000001	0.09882757939999999	0.0	0.0	0.0	0.0	0.320076	-0.010625999999999969	0.10244864577600002	0.00011291187599999934	-5.17726e-05	4.246750000000004e-05	1.8034885562500033e-09	2.68040211076e-09	-9.6044e-05	-9.487644000000001e-05	9.0015388670736e-09	9.224449936e-09	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8680.038794645587	-34.63722836247871	75343073.47655241	1199.7375886344996	11118.084810465389	-84.87433595716902	123611809.8527012	7203.652904170394	7042.862275113628	-4.531623036360543	49601909.02621871	20.535607343673547	7059.0323617865915	10285.979136062751	0.995572	39.303894	0.017507467600000003	0.0150107	0.06410865660000001	-0.190532477	0.1503548946	-0.0219783588	0.0988628014	-0.0516511342	0.0372746659	0.0858678263	0.013336995400000001	0.017041848999999998	-0.0955876661	0.0581141219	0.0595075237	0.10138442240000001	0.0325129317	0.0884304452	0.1880251	0.0329023643	-0.09167194740000001	-0.0272795293	0.1368713384	0.020655328	0.0540204949	-0.082847823	-0.0028609369	0.0694036193	0.15125024550000002	0.0285389687	0.16445709349999998	-0.0714627783	0.0767971737	0.0450505791	-0.0857869859	-0.0391722616	0.0717381745	-0.034395308799999996	0.0477693842	0.0166453604	0.1297257813	-0.0375141429	-0.00429834	0.0156310018	0.11474019140000001	-0.0772878204	-0.0024095321	0.1655647687	0.2503439302	-0.1458354586	0.0833915179	0.00487353	-0.015558748999999997	-0.0139305403	-0.05898958360000001	0.0920289827	0.0398858636	-0.0374639218	-0.051323805099999995	0.0236406879	0.1439956486	0.016020933600000002	-0.11204314	0.0079968863	-0.0212314581	0.09804425720000001	0.0385090622	-0.0182908621	-0.027703128599999998	-0.0496211624	0.0197135851	-0.0830210366	-0.029569000800000002	-0.047216563200000006	0.099262895	0.1454371623	0.0716848921	0.053462807800000005	0.0055214165	0.1089478404	-0.0034257790000000003	0.005261791899999999	-0.0644261944	-0.0404683758	-0.021715212400000003	0.0057804571	-0.019181465800000002	0.0081312985	0.0116665732	-0.1881921325	-0.0268568982	-0.1510383193	-0.019188006599999998	0.0742740821	-0.0101954995	0.048188254699999995	-0.0492892609	0.0085656581	0.0301510189	0.0730108553	0.061145799699999996	-0.0113100992	0.0014447473	0.0287420205	-0.07165401190000001	-0.1321798716	0.0090424125	0.0697024283	0.1063542362	0.04883995309999999	-0.061268980599999995	0.0835035385	0.0389735056	-0.0293189004	-0.1618766917	0.012595976299999999	0.19651959300000002	-0.16703699800000002	-0.1396381139	-0.041290926299999996	-0.081596611	-0.00799248	-0.0045077647999999994	-0.0050130104	0.0183889083	-0.0610154925	0.0468358269	0.0118642911	-0.0114109818	-0.0174272561	0.1666702658	-0.2301219122	0.0856920097	-0.14067814650000002	-0.0006868139999999999	0.027632495099999998	-0.0027124722999999997	-0.030182819	0.08295001	0.056302342199999994	0.0050750706	-0.0626243194	0.07299112469999999	0.069029957	0.0673785767	0.0076625788	-0.1115402516	-0.010864480800000001	-0.0412945944	-0.08711542259999999	0.034578756	-0.0207413577	0.0366696295	-0.0031760268	-0.1648314245	0.0228552985	-0.0455413249	0.0440295046	-0.21359779469999998	-0.0055225429	-0.0437919689	-0.029407165699999998	-0.1077941049	0.0468509446	-0.1304391592	0.044788828600000004	-0.0358558937	0.036164847	-0.0094142956	0.0121188582	0.0183786287	-0.0844141901	-0.1615088052	0.03560589	0.0689095326	0.0557785483	0.0532070887	-0.044865122699999996	-0.0895031414	0.024879272999999997	0.0319908611	-0.147380362	0.1093198373	-0.0075156897	0.0376231447	-0.0448444325	0.024890345	-0.10794169769999999	0.014029046399999998	0.0218648886	0.027430896200000002	0.0309479198	0.030343127799999998	-0.1251589504	0.1273539991	-0.07467854269999999	-0.1299970531	0.0623847576	0.10333282869999999	-0.0642406646	0.097177479	-0.09850748	0.1312708414	0.1250651999	0.033960969900000006	0.0171779887	0.0165048442	0.028956855400000002	0.0897840994	-0.0127454579	0.0272140542	0.09935634019999999	0.0989146402	0.0981799275	0.0	0.0	0.0	0.0	0.305308	-0.014768000000000059	0.093212974864	0.0002180938240000017	0.00263613	0.0026879026	7.22482038708676e-06	6.9491813769e-06	-9.501270000000004e-05	1.0312999999999506e-06	1.0635796899998982e-12	9.027413161290008e-09	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8664.460416633421	-15.578378012165556	75072874.31140742	242.68586148992333	11078.39676645037	-39.68804401501802	122730874.91489802	1575.1408377380078	7043.73080138325	0.8685262696217251	49614143.60235512	0.7543378810230295	7058.597345885102	10176.688337991025	1.03118	40.709648	0.014129814900000003	0.0090148	0.07593877339999999	-0.2036308515	0.1393668274	0.012126640800000001	-0.022617187900000002	0.0055582322	0.0252883283	0.10349512779999999	0.0062356582	0.002188209	-0.0838612294	0.0716729799	-0.0859308251	0.0050783284	-0.016293186499999997	0.0539649046	0.0933189608	0.0204500399	0.065099958	-0.0164210864	0.0375406096	-0.0921192489	-0.0748590234	0.046097629	0.0450674938	0.0185284603	0.0242222674	-0.0606517116	0.0095298317	-0.027855874	-0.0883426118	-0.040826539	-0.0271747904	-0.0517829808	0.0177205029	0.0527997004	-0.0750800266	-0.028652640099999998	0.1923826271	-0.046313868099999995	0.0641411253	0.10065920390000001	-0.0022975766	-0.0823725016	0.0057952754	0.1553429532	0.2751375023	-0.0339785719	0.004117855300000001	0.0729962766	0.0163782738	-0.0045469856	-0.0032852465999999997	0.0190096475	0.0491882732	0.0351326327	-0.1022781701	0.006456401999999999	-0.044157659	0.0207469823	0.058210689	0.003317756	0.1399379354	-0.0521544669	-0.1373054913	0.0479575719	0.062152948099999994	-0.0080243896	-0.11980696810000001	-0.0180743085	-0.0650848557	-0.0491864149	0.0189303329	-0.1079463619	0.029719604700000006	-0.1717025355	-0.1075031784	0.0462072027	-0.10145322539999999	-0.0044463065	-0.0195352728	0.0249595802	0.040209386800000003	0.0178821344	-0.0010115617999999999	-0.027331167799999997	0.1365962579	0.070992019	0.1263464751	0.0370598533	0.0017412037	-0.0445325529	-0.0636437213	0.0754132555	0.1263035181	-0.0671025041	0.0227146275	0.0065754929	-0.0489522665	-0.0174354547	-0.1065817113	0.0337281782	-0.031104459100000002	-0.011396635700000001	-0.09446851449999999	0.030260915	0.0611587708	0.0930317449	-0.00019154169999999998	-0.0902745026	0.1331060308	0.0319920031	0.030680843	-0.033586278399999996	-0.0257131864	0.10859099650000001	-0.0807964606	0.047896161900000005	-0.10188612779999999	0.034200256899999996	-0.0210397554	0.0023039857	0.046688722300000006	-0.1239153834	0.047567629400000006	-0.042888149800000004	-0.0711714555	-0.0073235077000000015	0.1584017565	-0.2566133981	0.0047288401	-0.030838732599999998	-0.06227540490000001	-0.0093567324	0.00047312470000000003	0.010888426100000001	-0.0329302594	0.07324144769999999	0.0185212432	-0.0329840415	-0.0178253217	-0.0611692855	0.028340848999999998	-0.079051804	-0.049206613600000004	0.1692280589	0.0841089871	0.15597876	-0.057602470499999996	0.0284391461	-0.0453080856	0.0365660212	-0.0365015696	-0.0670801955	-0.0758884597	-0.1101810627	-0.0325412839	-0.0610243257	-0.1624256199	-0.08570294310000001	0.1114936251	0.1155319273	0.0022454009	0.0075750303000000005	-0.0026752459999999996	-0.0242257584	0.0491512413	0.1082379332	0.0087814973	0.0887207226	0.0553710029	-0.060231487800000004	0.0714146794	-0.14354339160000001	0.0070703295999999995	-0.0453576511	0.087290857	-0.0500542535	0.11232421869999999	-0.046931506	-0.042794432300000004	-0.016723241899999998	0.1077147743	-0.0032204445	-0.0639314855	0.005484326899999999	-0.1019327396	-0.0623146016	0.0195331132	0.0903325901	-0.0540482257	0.0011031869	0.1060067551	0.1300127356	0.14209042630000002	0.0077275579	0.0389935172	-0.0468913274	0.0252960806	-0.0180525936	0.0423163934	-0.031176188799999997	0.0637896879	-0.1206809084	0.0828451454	0.026012652999999997	-0.0216825196	-0.0664652747	0.111499785	0.09926013199999999	0.09853056369999999	0.097318586	0.0	0.0	0.0	0.0	0.29759	-0.007717999999999947	0.08855980810000001	5.956752399999918e-05	-9.51299e-05	-0.0027312599	7.459780641348012e-06	9.04969787401e-09	-2.14016e-05	7.361110000000003e-05	5.418594043210007e-09	4.5802848256e-10	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
