global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	a_comp_cor_193	a_comp_cor_194	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17
9501.858109881758	n/a	90285307.54032572	n/a	10135.905801077251	n/a	n/a	102736586.40831149	6706.832871111606	n/a	n/a	44981607.16102316	6689.287712271717	14836.615625955304	n/a	n/a	n/a	n/a	-0.0382441508	-0.012822936299999999	-0.0141231028	0.0615233002	-0.5100484111	0.4471857347	0.2498535046	-0.0144491194	0.0240949814	-0.1438822944	0.013942170600000001	-0.0342138859	0.1399558605	-0.10248569560000001	-0.0456084025	0.0032411164	-0.0347637462	0.0040911941	-0.0181542082	0.0209730811	-0.0317620216	0.0800600933	-0.0662386343	0.1113299532	-0.0284124858	0.048440986500000005	-0.0503986802	0.102343854	0.001524121	-0.0971776135	0.0154029657	-0.0623998491	0.0364044949	-0.015774319	-0.0381848662	0.0217001842	-0.0304832462	0.046631032999999995	-0.0379176394	0.0596136482	-0.0902330815	0.1156064834	-0.0610007572	0.0478376789	-0.012281813600000002	0.056102056500000004	-0.0035305908	0.06733822099999999	-0.0122488516	0.0334745306	0.10847004210000001	-0.0279761595	0.0764742959	-0.0288496947	0.0718682928	-0.0811514334	0.0722583173	-0.0241043138	0.020692384299999998	-0.006219628100000001	0.06639828639999999	-0.0825320263	0.0183638171	-0.0937877486	0.0718970496	-0.018409362	-0.0560533509	0.1568388125	0.051079407400000006	-0.06724678519999999	0.0105534964	0.097660261	-0.0441210173	-0.0442940393	0.1115586181	-0.0059352466	-0.0778030468	0.0074555030000000005	0.022297544500000002	0.1289195124	-0.0643776449	0.04711235	0.0688025439	0.0783736135	-0.0830981984	-0.0566911296	-0.0576275959	0.031865101800000004	0.1050798331	-0.07291668059999999	-0.0638589291	-0.0816032297	0.0608810449	0.0052378589000000005	0.0748883314	0.038371301499999996	-0.035276725099999996	-0.015083196799999999	-0.024072098599999998	-0.0006310268	0.11916491580000001	0.0076042626	-0.0537487797	-0.028373406299999997	-0.0049915761	-0.0379461492	0.1175121459	0.0139192128	0.0272545112	0.0608499218	-0.0238300114	-0.0723159948	-0.0302179125	0.0473804905	0.032597394700000004	0.0529860291	-0.0177915428	-0.0402105075	0.051481749400000006	-0.0184982248	0.0531998847	-0.066620847	0.1107519074	0.08791752439999999	-0.1106573186	0.059509809800000014	-0.0060539172999999995	0.0319073698	-0.039694902000000004	0.0498208392	-0.0490448707	0.054812380099999995	-0.090765176	0.043464520300000004	-0.07359939780000001	0.10807594640000001	-0.0515235291	0.0375875375	-0.1433021511	0.0252500119	-0.0264439204	0.0330943602	-0.0392355735	0.1157096548	-0.0139081676	0.0468611284	-0.0866596774	0.0973208461	-0.059984797	0.1045548481	-0.034415420099999997	-0.1057069617	0.0835786358	0.042386287300000006	-0.0389349427	-0.0677907866	0.044412045	0.024359028300000002	-0.1305657644	0.0575314086	0.0216595811	0.098931559	-0.13015839380000002	0.029012071400000002	0.0506565662	0.0651137316	-0.08832214039999997	-0.07310779719999999	-0.0843516233	0.158319534	0.0172770842	-0.0329943578	-0.045546682000000005	-0.051873619	0.057147901699999996	0.0083878691	0.051163393700000004	0.0051591052	-0.0479272641	-0.0219185369	-0.0094221051	-0.0086098561	0.0846650068	0.0430031454	-0.0675285832	-0.0314992044	-0.0211604669	-0.0055566792	-0.0097704217	0.04316398	0.12253559720000001	0.0010161605999999999	-0.0697406963	-0.0836123509	0.0171095798	0.0694828291	0.0396857427	0.0004463253	-0.0852826423	0.0995007106	0.09949168539999999	0.099476644	0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	0.016341	n/a	0.0002670282810000001	n/a	0.0	n/a	0.0	n/a	-0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9431.471199504836	-70.38691037692116	88952648.9870892	4954.31715240873	9834.787077433291	-301.1187236439601	90672.48572896756	96723036.85844886	6711.077696911924	4.2448258003178125	18.018546075043762	45038563.85398866	6691.1371283162025	14588.790088405956	1.018835	38.466457	0.0127024	0.0127025	-0.020480278799999998	0.0095352153	-0.0051995477	0.0543050215	-0.2392527584	0.22132245539999998	0.087182545	0.034911209	0.0387924018	-0.05449567599999999	-0.0499075881	0.0170154865	0.0510354058	-0.052564481399999995	-0.0791259313	0.0543974491	0.0130856516	-0.0448648979	-0.0203463449	-0.008161270600000001	0.0731399278	0.0220167178	-0.0095596298	0.0354837579	0.0172752124	-0.0397695827	-0.0190020825	-0.0199233927	-0.015511578100000001	0.083052858	-0.0514018716	0.09866020240000001	-0.0258793156	-0.0090515	-0.0294912014	0.0487996946	-0.0740142375	0.0776318061	-0.0995554592	0.024511708599999998	-0.06854997339999999	0.08268767769999999	-0.0896338929	0.0620683783	0.0508371363	-0.0238227614	-0.010321361999999999	0.0108371561	-0.0181140988	0.0432704559	-0.0284515833	-0.1628064225	-0.0350846541	-0.10620431720000001	0.075960752	0.039461926099999996	-0.0225404569	0.0099937195	0.0740441787	-0.044931729100000005	0.12084980109999999	0.0535947825	-0.1308520884	-0.030738295	0.1017283727	0.013146468	0.0102589789	-0.021661541	0.0388050717	-0.0332482272	0.023136817	0.0063330635	-0.1403175944	-0.0008239030000000001	0.012979796399999998	0.044143655999999996	-0.1477536803	0.0011256826	0.007134074399999998	-0.1484836591	-0.040889708999999996	0.058389457199999995	0.0169488524	-0.0253876281	-0.0373417309	0.0236866441	-0.060574244900000004	-0.2349768716	0.120554589	-0.029192106699999998	0.0170655483	0.0017088716	0.0008524012	-0.0083552551	-0.1154892626	0.0719988333	0.0259346677	-0.08508109259999999	-0.0032957787	-0.0332971594	-0.042255905999999996	0.0022070647	-0.019043357	0.0663905963	-0.0702760905	-0.0383566746	-0.0952330208	0.045395248	0.0936665552	-0.027832310899999997	-0.0125300144	-0.0030811821999999997	-0.0399898503	-0.0183558797	0.0684785089	-0.0765236575	-0.0096845374	-0.0332521691	0.0977422908	-0.0257792043	0.0604374143	-0.1179803432	0.0551775612	0.0781408274	-0.058661590300000004	0.08350045610000001	-0.015474683799999996	-0.0143691673	0.0547622239	0.0376166838	-0.052656042199999996	-0.0035725022999999996	-0.0649150308	0.0728819387	0.09774464769999999	0.09510229869999999	-0.0379169275	0.09957380939999999	-0.0041887458	-0.0712104952	0.0955940285	0.0050820413	-0.0413891711	0.013612610700000001	-0.1142962951	0.2001097066	-0.0212017311	0.044298708099999994	-0.046342215	0.0093774746	-0.0186303847	-0.0008873497	0.0679972668	0.0138167975	0.116570009	0.0137783751	-0.061006906799999996	0.006423376	-0.0258844298	0.0723452441	-0.1683167757	-0.032613183399999995	-0.0276846711	-0.0228646656	0.104826009	0.0348670845	0.055512564	0.0172719652	-0.0358780608	0.011406798899999999	0.0979176221	0.1509071009	-0.1597512227	0.0239036428	0.0696752971	-0.0434321095	-0.0935386247	0.0494933824	0.0327063079	-0.0036067702	-0.049595620800000004	-0.0593832475	-0.0650868644	0.0097094161	0.0579674432	-0.1485615172	-0.0315857764	-0.0652287492	0.032230755800000004	0.0580534659	-0.053275272699999994	0.031013498100000002	-0.0180016583	-0.0197731422	-0.0322551949	-0.0169068882	0.048255382	0.0002304591	0.0581698392	0.099476644	0.0993954336	0.09926013199999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029043400000000007	0.012702400000000004	0.0008435190835600003	0.00016135096576000007	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9378.291253703204	-53.17994580163214	87952346.83928601	2828.1066354645313	9716.696526886297	-118.09055054699458	13945.37812849228	94414191.39560422	6703.738911553972	-7.3387853579524736	53.85777053009764	44940115.39428283	6683.694827356451	14264.56755957661	1.07306	40.513756	0.0109904	0.0109904	-0.0222467512	0.0771640379	0.0234290858	0.0360906787	-0.0991055152	0.08752025320000001	0.010029829799999999	-0.0388337464	0.0317399771	-0.056359756500000004	0.0432035195	-0.0064240003000000006	0.0245898013	-0.09811123470000001	-0.0012883383	0.050238860999999996	-0.0928072305	0.051869966399999995	0.051173228099999996	-0.08377865570000001	0.0760899135	-0.0040306103	0.0145536172	-0.019803207	-0.0284096496	0.0788111112	0.0545404238	-0.0528645808	0.0256933865	0.0173386718	0.0471840767	0.0483106119	0.0989217663	-0.0181280622	-0.0592531439	-0.0250000345	-0.0356789744	0.026823716	-0.055089684400000005	-0.017761534	0.0074054251	0.1094738259	-0.0829467232	0.084799869	-0.0560204505	0.09042727910000001	0.0450144505	0.09963167269999999	-0.0174468253	0.0661241347	0.08899160119999999	-0.036475968	0.1272000164	0.0737388856	-0.0121191626	-0.0198018234	0.0654106575	-0.013324849599999999	-0.0389653138	0.16039543650000002	-0.0805024762	0.0124884826	-0.0465123197	-0.0814840551	0.2276736633	0.0335134495	0.0108171928	-0.0061990437	0.023536174700000002	0.0070806741	0.0263700929	-0.0844802735	0.025234073399999998	0.0170638952	-0.0708288365	0.1231886898	0.024798161000000003	0.0007332171	-0.10064108199999999	0.1052152574	0.11435961630000001	0.022656876	-0.0528528758	-0.0629493083	-0.1082509775	-0.0779868551	-0.020335031200000003	0.0076000051	0.0137808176	0.0732395815	0.1021681007	0.0779014825	-0.0627977785	0.21231387510000002	0.060431610499999996	0.0438277995	0.0836553242	-0.0085169753	0.071148806	-0.029111297799999998	-0.0539423012	0.0020018103	-0.0426973558	-0.036877173900000004	0.0108980632	0.0488580755	0.1139283062	0.043838610199999996	0.151773725	-0.0340545058	0.0477199054	0.09395545050000001	-0.07077202190000001	0.0425755961	0.0062015801	0.1069057827	-0.015317743899999996	-0.060230840099999995	0.0084270648	-0.0486834971	0.023166825099999996	-0.0590442693	0.0031949382	0.0592263669	-0.0984342877	0.12323656890000001	-0.0487389141	0.068653754	-0.0761716796	-0.006579402	-0.0521126967	0.0732352718	-0.08898649380000001	-0.0157311045	-0.10531391119999996	0.11447764869999999	-0.040556756	-0.08096076940000001	-0.0636109678	0.0568963345	-0.046240479	-0.0909151933	-0.0974972091	-0.014705061	0.0702183755	0.09291625070000001	-0.08524123800000001	0.0764707679	-0.1251559586	-0.0610334312	0.047188765199999996	-0.0161929522	-0.006891078100000001	-0.10772048779999999	-0.0479721633	0.1443424579	0.057763971500000004	-0.0433798595	0.0256511236	0.1288477641	0.13226307269999998	0.0842656893	-0.0159161786	-0.0684387382	-0.09179672539999999	-0.0961538046	0.0655690447	0.0348762796	-0.0594171703	-0.0912509724	0.047690440300000005	0.10317469039999999	0.1378926946	-0.1307484692	-0.0222374052	-0.1386975294	0.030819858	-0.0236551142	-0.0193957826	-0.0221313892	0.047373476	-0.041971685	-0.08219642320000001	0.0023898478	0.0222491048	0.004330349	-0.0128691024	-0.0036103863000000003	0.025582588399999998	0.11598758869999999	0.1236906998	0.09718703890000001	-0.0046779046	0.1207367335	-0.0747891958	0.0691583375	0.0941411249	0.025162143900000003	0.0189275032	0.0994285166	0.09920302310000001	0.09882757939999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0400338	0.010990399999999996	0.0016027051424400002	0.00012078889215999995	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9353.725384609654	-24.56586909355065	87492178.57069102	603.4819243214669	9697.73001834285	-18.966508543446256	359.72844632861967	94045967.50866802	6694.672569386242	-9.06634216773	82.1985603023591	44818640.81129258	6674.868207984264	14233.909499917945	0.9248940000000002	34.919682	0.019317922	0.0135005	-0.0158218411	0.06243493820000001	0.0347737714	0.01146503	-0.0405592787	0.1030196976	-0.0239138633	0.08940225550000001	0.0799465643	-0.0015800359	0.050515911100000005	0.005653048199999999	-0.0612944587	-0.0038659605	0.0328445717	0.017183721699999998	-0.057688450599999996	0.07472775179999999	-0.0421089977	-0.0190509169	0.0207652548	-0.006466227	0.0650502546	0.0324987387	0.0184261667	0.002932084	-0.0275356125	0.0760596419	0.0672247616	0.1000811866	-0.0074295103	-0.06863338719999999	-0.0520229986	-0.0254349471	-0.0279157337	-0.007070392900000002	-0.0351203203	0.0329225665	-0.0436019438	0.0818179706	-0.0310713941	0.0934865591	-0.1003491142	0.1444007501	-0.0288385473	-0.0061912333	0.0700876884	0.068085804	0.036599806400000004	-0.023871984300000003	0.0745262968	-0.0398038074	0.0529518448	0.0357477156	0.08199411179999999	0.0381986651	0.013699473700000001	-0.022808690099999997	0.0380527768	0.002633537	0.030037024300000006	0.1105684803	-0.009857519200000001	0.007570787	0.11164992289999999	-0.005582154399999999	0.0352970267	-0.136826107	-0.09178281460000001	0.0306787636	0.014256522399999999	-0.0143889736	-0.0031316348999999998	-0.0525044053	0.0788237022	0.0600314395	0.0046431626	-0.0073060129000000005	0.0630322479	0.0536677241	0.0960885995	-0.0315083018	0.0541336428	-0.0612983573	0.061334014900000004	-0.059297939	-0.08619088609999999	0.1260267926	0.0276914455	-0.0600658392	-0.080945651	-0.0541713761	-0.0342371688	-0.0591130615	-0.07274911070000001	0.125264982	0.0446996622	0.0863522294	-0.0123771005	0.049306866399999996	-0.19395761379999998	0.0577471995	0.035216205699999996	-0.0556474266	0.0487536682	-0.0631583027	0.0793300808	0.0207469934	-0.1506027788	-0.0723898329	-0.07337452950000001	-0.0285992204	-0.0031790174	0.1192383132	-0.0182206624	-0.1348624666	-0.0296393873	-0.026727960800000002	0.0243084795	-0.0383531015	0.0197152154	-0.0756819046	0.11551164359999999	0.0288080779	-0.09438020470000001	0.1266743015	-0.10442155970000001	0.0640670787	0.0191872591	-0.057020388099999986	-0.0175993204	0.06568695299999999	-0.046787342	0.0562045049	-0.0591999514	0.0505782158	-0.0729878106	0.0296678158	-0.005929031899999999	-0.0532039816	0.0146362965	0.0213002737	-0.0439954087	-0.0857665461	-0.0309977474	0.0582402024	0.0219218219	0.07090138530000001	-0.06501024700000001	-0.010537418	0.054287955199999995	0.10073691289999999	-0.0633643327	-0.07191561219999999	0.0581586042	-0.0274371642	0.029874750699999997	0.0763139737	-0.005443788000000001	-0.0010388875	0.0259218391	0.0082965216	0.0104108042	-0.08729768939999999	-0.16089234089999999	0.0110396806	-0.0062346403	-0.0162931155	-0.0428004099	0.0857281687	-0.0402139154	-0.10226298589999999	-0.0328846746	-0.0033887558	-0.0791462457	0.0651728981	-0.0858683067	-0.0270280352	0.13280000320000002	-0.1638952308	-0.022309916800000003	-0.0809517793	-0.054342122199999995	-0.0746962198	0.0223595794	0.1714035045	-0.0467712456	0.010975818	0.0162394913	-0.0065005337	0.027782445099999997	-0.10307067460000001	-0.0089950363	-0.09132119640000001	0.1276085643	-0.15323355060000002	0.11229692960000001	-0.016841868200000002	-0.0004229317	0.09935634019999999	0.0989146402	0.0981799275	0.0	0.0	0.0	0.0	0.00015152200000000002	0.00015152200000000002	2.295891648400001e-08	2.295891648400001e-08	0.0310482	-0.008985600000000002	0.00096399072324	8.074100736e-05	0.000203616	0.000203616	4.1459475456e-08	4.1459475456e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9317.33334012124	-36.392044488413376	86812700.57093483	1324.3809020466585	9654.566670282606	-43.16334806024497	1863.0746157698532	93210657.59093176	6685.7795142394725	-8.893055146769258	79.08642984347918	44699647.7130242	6665.990140889987	13988.352596339737	0.946449	35.733505	0.016476548	0.0101801	-0.0211281746	0.1191076824	0.0692929029	-0.0057237273	-0.0167642894	0.013836379	-0.0409410889	0.012149685600000001	0.0578268191	-0.0791289344	0.0347836225	0.0699991705	-0.0738096599	-0.16071643830000001	-0.0188097449	-0.004571714	-0.1176853657	0.0233940728	0.0154424507	-0.0535495204	0.0681745269	-0.027518176000000002	0.0474359792	-0.0401123479	0.0295842487	0.14950615039999998	0.0820764345	-0.0934072491	-0.0883653107	0.0810288091	0.0093365529	-0.0020042934	0.026003535499999997	-0.044543324	-0.0649090008	-0.0475949699	0.0676236221	0.0602915574	0.0046294432	0.0587401545	-0.036939002900000004	0.12022644060000001	-0.07423159929999999	0.0663289951	-0.0006613678	0.0671302035	-0.0018715741	0.0604692728	-0.1030597385	-0.041459672999999996	0.0304392245	-0.0428343266	0.015974359	0.0394770648	0.0475677805	-0.067359038	-0.0152289837	0.0040121674	0.0786279525	0.08724486449999999	-0.0281011133	0.025591647400000004	-0.06605162269999999	-0.009808488399999999	0.020743319	-0.025561078799999998	-0.0368803807	0.1416342288	0.0609858173	-0.0844882915	0.014600844699999999	-0.0738430147	0.057957002599999995	0.019106335	0.009632461	0.0589226701	-0.0958268769	0.0044781524	0.053619336600000005	0.0450389484	0.0339215739	-0.0057422093	-0.0023615129	-0.06361273320000001	0.0624849563	-0.0298074491	-0.0366071922	-0.0546990294	0.0304865983	-0.0780977649	-0.046039158200000006	0.0705353703	0.0857015941	0.0480390324	0.021447172999999996	-0.0052228114	-0.0899725739	-0.061774952699999996	0.0465263393	0.0923850711	0.012063506399999998	-0.0653580501	-0.011288235700000001	0.0370601203	0.039471285099999996	0.0835258044	-0.055820072699999994	-0.0447275438	-0.0180918835	0.08085244679999999	-0.1042927973	-0.0541932442	0.0401553214	-0.2221966808	-0.0269424669	0.0123013184	-0.0391723138	-0.0688349835	-0.0691875584	-0.0016500919	0.0738101166	-0.0071094779	0.0833924246	0.0503246137	-0.1176723531	0.088823721	-0.041893602599999996	0.0190459095	-0.0397664457	0.038462814500000005	-0.106873466	0.0731460619	0.035719856	0.027669516600000003	-0.021377875499999997	0.028903642599999998	-0.0691586112	0.0033055258	-0.0256726497	0.045379416299999996	0.061531957699999994	-0.0042553193	-0.0692895571	0.0154469603	0.0537172371	0.0553276313	-0.0172130593	0.013785434499999999	0.016934344599999998	0.0539362288	-0.0735691453	-0.0468581383	0.0535227659	0.0366228356	-0.12070120460000001	0.093419221	-0.02310363	-0.0572738068	-0.0704799094	0.0211965118	-0.0396957968	0.014502128799999996	-0.030297981800000002	-0.047423737300000005	-0.09138522199999999	0.0336418098	0.0108117786	0.0182250006	-0.0810161746	-0.0252745876	0.045363662199999995	-0.034619515	-0.038437880699999996	-0.0645274243	0.10331286710000001	0.0429913128	0.005476586899999999	0.060757210599999986	0.0103933946	0.077925854	0.026346704300000003	-0.0426111125	0.092910109	-0.0617615593	0.1010226033	0.001664235	0.0776452478	0.0662429184	-0.026599949900000003	-0.0608811783	-0.0811275608	-0.0321096975	-0.07721758690000001	-0.025588229	-0.0722187356	0.0623898628	-0.1832164571	0.0296781939	0.143711709	0.09926013199999999	0.09853056369999999	0.097318586	0.0	0.0	0.0	0.0	0.00634832	0.006196798000000001	4.03011668224e-05	3.8400305452804e-05	0.0389665	0.007918300000000001	0.00151838812225	6.269947489e-05	0.00015638700000000002	-4.7228999999999984e-05	2.4456893769e-08	2.2305784409999973e-09	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
