global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08
9143.945280570651	n/a	83611735.29407029	n/a	11436.00989073551	n/a	130782322.22100042	n/a	7202.133701537274	n/a	51870729.85481899	n/a	7198.954899994538	11327.91860345739	n/a	n/a	n/a	n/a	-0.0348726967	-0.09025767679999999	-0.15765057970000002	0.6840346026	0.446518464	0.0676887039	-0.017828125900000002	0.0428623733	-0.08695456359999999	0.0223124481	-0.026570138599999998	0.059636067	-0.0043988777000000005	0.0194787771	-0.043853405	0.0161776451	-0.0486685288	0.0076156614	-0.031307623199999995	0.040019688	-0.0596511822	0.0159651392	-0.030950332200000007	0.0116862561	-0.0466895129	0.0079122645	-0.0250376265	0.036373236	-0.050412621399999996	0.0862810588	-0.0192318749	-0.0244202621	0.0221534783	-0.0217549395	5.3282299999999996e-05	-0.0117669811	0.049018745499999995	-0.073820557	0.1374209134	-0.0468217233	0.05705435070000001	-0.0336545213	0.0149758922	-0.0579509684	0.0094648336	-0.0211825779	0.069314414	-0.0663794307	0.0623540188	-0.028289373	0.0222176675	-0.0648269539	0.0920635833	-0.0569770217	0.0035977824	-0.0301322528	0.0697867194	-0.1470059017	0.0227968765	-0.0337441765	0.0145251479	-0.042548122	0.0606243728	-0.0080648361	0.090083274	-0.0823209893	-0.0057329967	0.0420123987	-0.1352625463	-0.0928067946	0.0727286885	0.0283895023	-0.068679868	0.0699715115	0.0172709558	0.1482108641	-0.0187391656	-0.0476820661	0.0536480624	0.046472432599999995	-0.114048557	-0.1641234766	0.0569146085	0.052156177699999993	0.0042669171	-0.036920285	-0.0692164836	-0.055259504400000006	0.053503254900000005	0.0716542576	-0.1147661771	-0.0054794297999999995	-0.057711793	0.0716856884	0.028942097599999998	0.0465364636	0.0062148351	-0.0646811531	0.1489716563	0.014425257700000001	0.0620273514	0.0173438432	-0.0708000574	-0.04504825269999999	-0.029107969900000006	0.0356851693	-0.0201446055	0.025812301699999998	-0.048017548300000004	0.0979147516	-0.0588600497	0.2362750193	-0.047741538099999994	0.0957480608	-0.0187824824	0.011066643999999999	-0.09508103890000001	0.018362030300000002	-0.0332744908	0.11925795689999999	-0.0686326085	0.0907037155	-0.0053611526	-0.062816305	0.12324885810000001	-0.11105257789999999	0.1182320128	-0.00023947	0.0865224458	-0.2435894589	0.0798106871	-0.0225916547	0.0052490552	-0.0357797073	0.011274646599999999	-0.1073972148	0.1643001991	-0.0410191503	0.1531041701	0.09929994800000001	-0.029955101600000002	0.19291922949999998	0.0204998376	0.0373249628	-0.0502473341	0.1538301788	0.019037015900000002	-0.0765815701	-0.07898622450000001	0.0672487697	8.757180000000001e-05	-0.0728202542	0.1425109999	0.053061350099999995	-0.095491925	-0.004858578400000001	-0.11384407519999999	0.0633742742	0.00010670180000000001	0.0334982817	0.0130829098	-0.0645893819	-0.0370009453	0.0697916454	0.0485526279	0.08410481060000001	-0.0548141225	-0.0079272573	-0.0576770891	0.0193420197	0.0908141565	-0.1298111478	-0.1028832468	-0.0084400178	0.075938571	0.021905158900000003	0.10382646949999999	0.0995007106	0.09949168539999999	0.099476644	0.0	n/a	n/a	0.0	-0.12313	n/a	0.015160996899999998	n/a	0.0003221	n/a	1.0374841000000003e-07	n/a	-0.0003904	n/a	1.5241216e-07	n/a	-0.0	n/a	0.0	n/a	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9118.3679709203	-25.5773096503508	83144634.4531052	654.1987689499281	11103.75266061558	-332.2572301199307	123293323.14812754	110394.86696696858	7197.207082508347	-4.926619028926326	51799789.78850832	24.271575056178964	7189.967623014907	11111.553904679153	0.997012	41.016441	0.06732439999999999	0.0582936	0.0048475984	-0.0753728972	-0.048371135700000005	0.3516913415	0.1239183012	0.0057106384	0.0314743756	-0.0693708474	-0.047161678	-0.0951541806	0.1668983537	-0.0517326808	-0.0682872612	-0.005197875	0.1281921942	0.0324671738	0.0061344531	0.0258742363	0.0045201344000000004	-0.1177071301	0.0220434722	0.013681998	0.022451960099999998	0.007364983100000002	-0.0012487006	-0.0438303996	0.016195609099999998	-0.0699305801	0.0527895103	-0.0552211453	-0.0720350299	-0.0008522789	0.0247121705	-0.039752069	0.028382619900000006	-0.0851374009	0.0822669296	0.0482463698	0.096750276	0.09112050990000001	0.0738853512	-0.0836355716	0.021358261	-0.11225702130000001	-0.0343232863	0.022404044900000003	-0.011507499499999999	-0.0548334226	-0.0069392598	-0.0579963619	0.1388688276	0.0791231299	-0.1121408492	0.1274850481	0.0207351632	0.0372663236	0.0124857923	-0.06025867610000001	-0.010181545	-0.0722064446	-0.0279485194	-0.015592680800000001	-0.0042425827	-0.0382581898	0.0702806836	0.0061371904	0.0432674739	0.0621366423	-0.1566402603	-0.0188956625	0.1347415507	0.1358347172	-0.0239349438	-0.052019473	0.0874114251	-0.030565932	0.037815639500000005	0.08593629130000001	-0.1327803988	0.0193679479	-0.0017228814000000002	-0.0701851138	-0.009464435799999999	0.0589887084	0.0120703618	0.058899364100000004	-0.024317354	0.021185574500000002	0.0437782834	0.0020926263	0.1184233792	0.025229473	0.0872346002	-0.0145596048	-0.0431077437	0.028897614199999998	-0.044019845300000006	-0.0022153219	-0.0836765911	-0.0225443098	0.0616323853	0.0944976523	0.0044779284	0.0246812098	-0.0036309785999999998	0.033435382400000005	-0.0384493839	-0.0104613659	-0.1149825206	0.0877960821	0.055151161500000004	0.1253984	0.0964871323	0.1173108808	-0.049501477	0.0012556776	-0.10987558509999999	-0.044011572400000004	-0.018966675500000002	-0.0061030962	-0.0584179334	0.0015084654999999998	0.0307497262	-0.11615487349999999	-0.0266946698	0.0955230159	-0.10030740880000001	-0.09368795640000001	-0.0416233405	-0.1146231406	0.0653412806	-0.0508381758	-0.0154350184	-0.007824581700000001	0.0419477303	-0.0369565455	0.12206186109999999	-0.0651035722	0.04716288230000002	0.0238306265	0.019387941000000002	0.1724290456	0.0092751181	-0.1063589762	-0.1026832641	-0.0510624813	0.0279701954	0.077337571	-0.014542098400000003	0.1237965804	0.0242763731	-0.0051795934999999994	-0.152859886	0.011245486499999999	-0.0143823782	0.0483282048	0.016172531599999998	0.0513992819	-0.0160456522	-0.0515657849	0.0061154365	-0.016618992	0.0193759895	-0.0936473809	-0.0360009365	-0.0601458587	0.11836635359999999	-0.0611788208	0.006722473499999999	0.049679801100000004	-0.06545372690000001	0.0419162821	0.0050103273	-0.0522904352	0.0306474116	0.0613586764	0.040053103799999996	0.099476644	0.0993954336	0.09926013199999999	0.0	0.0	0.0	0.0	-0.0654459	0.05768409999999999	0.00428316582681	0.0033274553928099985	0.00349465	0.00317255	1.22125786225e-05	1.00650735025e-05	-0.000261045	0.000129355	6.814449202500001e-08	1.6732716025e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9093.907290818503	-24.460680101798058	82699149.81400192	598.3248710424996	10907.151359250143	-196.6013013654356	118965950.77359223	38652.07169858282	7191.261760203864	-5.945322304483852	51714245.70377037	35.346857304193186	7180.808892742934	10797.500672364302	1.042674	42.894958	0.08182345	0.0633646	0.0564558093	-0.0003601422	0.048816532	0.14111580099999999	0.0386661177	0.0023874721	-0.0066969334	-0.0747284624	-0.0516792081	0.0307662925	-0.087194555	-0.094051329	-0.1187976067	-0.045487582400000004	-0.0883532491	0.0700782338	0.043348234299999996	-0.12385149390000001	0.025744809	0.0270124383	0.0702533289	-0.0849439742	-0.0003649797	-0.068595173	0.0314985094	-0.0379041852	0.11881028390000001	0.0173447161	0.0440507901	-0.09772212	0.1292664086	0.0482246654	0.0154407002	-0.0406179609	0.06700221070000001	0.005511704	-0.022263589700000003	0.0927010586	-0.0152132795	0.0008021189	0.0280737572	0.07336001860000001	0.0028080115	0.042888382	0.0923660614	-0.0894703134	0.0343508981	-0.0126654574	-0.0489048461	0.022406900499999997	0.0939636209	0.0470029374	-0.1471021966	-0.0089639756	-0.0187947247	0.0191164862	-0.0001806434	-0.081136017	0.059681508700000004	0.0782945764	-0.040062329199999996	-0.0520829219	0.050373241799999996	0.0094760064	0.0451875792	-0.0869189696	0.0891880897	-0.0602971535	0.0064138745	-0.10382339	-0.0118585121	-0.1248749619	0.0544056357	0.0810581376	0.0003030495	-0.056880260099999996	0.0148048639	-0.0790740132	-0.0074095816	0.0190933232	0.0406935955	0.0636772978	-0.0540117129	0.10406393970000001	0.014833799299999999	0.0693459465	0.0253477186	-0.1505997777	-0.0733304509	-0.13837915380000002	-0.069167746	0.059273442300000014	-0.0601862885	0.0295910569	0.047092052800000006	0.1091200875	-0.04211658150000002	0.143184807	0.0402408168	0.044972045599999996	0.10212957210000001	-0.15237690539999998	-0.0004919697	-0.1399918572	0.0477960861	0.0187566776	-0.0415777442	-0.0624965434	0.0024171121	-0.0173001308	0.0907458367	0.0020289745	-0.0041763639000000005	-0.00182675	0.08393159630000001	0.013793036399999998	0.00494149	0.10752458820000001	0.0770652807	0.07086740799999999	-0.0363315543	-0.075868354	-0.0475174693	-0.0753112235	0.009352800999999999	0.1274190517	-0.0012942025	-0.012846165900000001	-0.0024913337	-0.12544588869999998	0.062726224	0.0978585617	-0.0024795464	-0.0168900097	-0.008879451	-0.019946975800000002	0.0678735894	-0.0189840704	0.0644350088	0.0351442825	0.035526969	-0.0566788704	0.050517758200000006	0.14106802699999998	0.0610056442	-0.0359798077	-0.0046644955	0.0076674323	0.06989916089999999	-0.10046540050000001	0.0132534846	-0.037284967599999996	-0.0670153153	0.0361158108	0.0511820181	-0.083464939	-0.12426268800000001	0.0298859186	0.0329657648	-0.036662136	0.14123357949999998	0.1173566364	0.0711639847	0.1353630426	0.0494356371	-0.0687897827	-0.0720993959	-0.0270654242	-0.0629079108	-0.1017944872	-0.0769128093	-0.10659476109999999	-0.1175607316	-0.0822105598	0.04981928769999999	-0.1396539346	0.021051810299999998	0.0994285166	0.09920302310000001	0.09882757939999999	0.0	0.0	0.0	0.0	-0.00416845	0.06127745	1.7375975402499993e-05	0.003754925878502501	0.0109884	0.00749375	0.00012074493456	5.615628906250001e-05	0.0	0.000261045	0.0	6.814449202500001e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9056.13935892686	-37.767931891643464	82013660.08830418	1426.4166793718189	10831.553213902558	-75.59814534758516	117322545.02560285	5715.079579994612	7186.6032285255615	-4.658531678302097	51647265.96425402	21.701917397744154	7175.606245650648	10702.34954743903	0.928662	38.204601	0.03568596	0.0344985	0.019255833400000002	0.045943193099999995	0.0370003335	0.0412783863	0.0591582571	0.027519342000000002	0.05729096490000001	-0.0097828262	-0.0218013515	-0.0574432914	-0.0803636152	-0.0196751589	0.0289183823	0.0659884705	0.0524220024	0.0145107665	0.1324331377	-0.0187175154	-0.09077513470000001	-0.0738588742	0.0066631067	-0.0354629105	0.0501400508	0.0368378152	0.0125698854	0.0270211547	0.1453325184	0.106358435	-0.0142307896	-0.12236837460000001	0.0914934427	0.0257861275	-0.0166060475	-0.0376443246	0.0857081464	0.057672044699999994	-0.034538214399999996	0.0990573286	0.0187011672	-0.011303291299999999	-0.0386938379	-0.0634462752	-0.0269807857	-0.0872228589	-0.0259285009	0.041329247799999996	-0.0145049623	-0.0593173806	-0.0787819498	0.059872912	0.063527957	-0.13445603890000002	0.015744196000000002	0.071537739	0.057828003499999996	-0.0101523494	0.016996265	0.0245277349	0.0310587039	-0.0255703322	0.0354052117	-0.0780307219	0.082919431	0.042483766	-0.0357664477	-0.0474130419	0.1051284926	0.0048670197	-0.0978344757	-0.0034357128000000003	-0.0585058724	-0.1087138595	-0.044231728	-0.0309675465	-0.08008298330000001	-0.0746943365	-0.1321869618	-0.1316085684	-0.030871118700000002	0.07842695969999999	0.1671046596	-0.018447341000000003	-0.0790684833	0.0172363842	-0.07082036650000001	-0.046528328499999994	0.0028451228999999997	0.029015243599999997	0.0892152701	-0.0838372207	-0.0133886683	0.012402008400000001	-0.1103967456	0.02048039	-0.0131117711	0.0382810507	0.0107661855	-0.1175624899	-0.0491504419	0.0047122895	0.019109796499999998	-0.021798336	-0.1759574402	-0.026773618500000002	0.0273372946	-0.0151503267	-0.036621246499999996	-0.0802875921	0.055436056399999996	-0.011413196399999999	0.1101588053	0.045247679299999996	-0.020848578700000002	-0.0008883359	-0.0625808251	-0.015069496000000003	-0.1060456124	-0.020408603100000002	-0.0384656765	0.0023661204	-0.0782949702	-0.0777775987	-0.0214317601	-0.016290479	0.13648249199999998	-0.0404290687	-0.0638572394	-0.0800588982	0.0117016855	0.0170471372	-0.025255526099999998	0.0342062469	-0.0838148754	-0.042142364	-0.0180567118	-0.0810954968	-0.010698598200000001	0.0109382676	0.0440550452	-0.0792520924	0.0609386947	0.0284919393	-0.0564507049	0.0700954203	0.05719689610000001	-0.0494298708	-0.0302139337	-0.1015605442	0.142520738	-0.0981420466	0.1333530792	-0.0396015668	-0.0304727798	0.053963037400000004	0.1478639959	0.1340349737	-0.0260115273	0.0180586672	0.0139351382	0.0579342746	-0.033067380800000004	-0.069124474	0.05630841900000001	0.0139407153	0.0852551649	-0.0104307924	-0.1013702521	-0.0239512569	0.0177882007	-0.0240229027	0.08678559039999999	0.0977381809	-0.0011074575	-0.0790121965	0.09260419800000001	0.054954715999999994	-0.0149629975	0.09935634019999999	0.0989146402	0.0981799275	0.0	0.0	0.0	0.0	-0.0386457	-0.03447725	0.0014934901284899998	0.0011886807675625	0.00977969	-0.00120871	9.564233649610003e-05	1.4609798641e-06	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9052.07324835172	-4.066110575138737	81940030.09352487	16.533255209255067	10775.450495770254	-56.10271813230429	116110333.38679542	3147.5149818327845	7184.559646088465	-2.04358243709612	51617897.30820282	4.176229177207717	7171.873734166875	10609.190723725416	0.8424649999999999	34.658474	0.07545327999999997	0.07158870000000002	0.0011343003	0.062359772699999996	0.033377307200000005	-0.0192766591	0.0198164309	0.014988008300000001	0.055643127199999996	-0.0485080662	-0.0871612336	-0.0780436634	-0.07043795309999999	0.09787289099999999	-0.0747823296	-0.023781820899999997	0.0223571836	-0.0893822449	-0.0039890023	-0.0129668172	-0.0261225556	0.017288781	0.08376913230000001	-0.024109291499999998	0.1245539105	0.0285891458	0.078900372	0.012318251	0.0857887208	0.010253372299999999	-0.00023839220000000002	-0.0305276871	-0.0135597121	0.0123625407	-0.0355812472	-0.0232136543	0.0476663859	0.0186374417	-0.0027224034	0.09229032529999999	-0.0067354399	0.0695514181	0.0212799506	-0.0212177279	0.0255155057	-0.004649079	-0.0182497906	-0.0151549206	-0.12700725359999998	0.0758792928	0.021514828	-0.061019344800000014	-0.0654583985	-0.053520528600000006	0.0573010357	-0.0745496695	-0.0317829404	-0.0302717383	0.01404739	0.024280626099999997	0.1121607225	-0.016125401100000002	-0.0084505942	0.0473718604	-0.035656672599999994	-0.0638604527	0.0790249754	-0.0583765807	-0.0332623302	0.0989738789	-0.0063376162	0.0419271955	-0.0153561799	0.11412300019999999	0.044042440700000005	-0.0401931744	-0.0305395473	-0.0543957174	-0.0203932317	-0.0866210731	-0.006036093100000001	-0.067389612	-0.0322212013	-0.0193040245	0.0738529388	0.0411798258	-0.0359795174	0.043574922	0.0703121838	0.0565559389	-0.021279080099999997	0.0952180846	0.07483588440000001	0.0580248103	0.1357708453	0.1672293155	-0.0704370109	-0.0127316187	-0.087544618	-0.0814055387	-0.1107095773	-0.017707898700000002	-0.0772204303	0.1622696691	-0.0241323928	0.047472975599999995	0.014390823300000001	-0.0380751287	-0.0255989082	-0.0539977571	0.018466286000000002	-0.005606369399999999	0.0932738298	-0.0346327913	0.0769082476	0.0270033333	-0.0156767644	0.0163615428	0.0267581915	-0.0345449671	0.0352233063	-0.1470760578	0.0551495192	0.0357080973	0.0398356765	0.0583179637	0.0540029208	-0.053342516900000005	0.057301953899999994	0.0690422317	0.0620480608	-0.023152740499999998	-0.0218990154	0.0187758435	-0.0509412567	0.0732125805	0.09553565160000001	-0.0044733864	0.0813637752	-0.0075926329	-0.029429985699999998	-0.08356651150000001	-0.06300948599999999	-0.0377217635	-0.0524977487	-0.07311602190000001	-0.07281047480000001	-0.0256619218	0.0484045736	0.0127339225	-0.0405113997	-0.1087735982	-0.022065637000000003	-0.0408219583	0.0015936676	0.0185682956	-0.0733288473	0.055660085199999994	0.0442723475	0.06242420360000001	-0.0727740129	-0.0138123242	0.053082202800000006	0.0150126779	0.0108861724	-0.0690595929	0.0474446741	0.14803308029999998	0.16221198650000002	-0.1202819602	0.054097310700000005	0.1393054292	0.0495385801	0.0614784025	0.1143159517	0.0051520815	0.0452430916	0.0615591938	0.1226809176	0.09926013199999999	0.09853056369999999	0.097318586	0.0	0.0	0.0	0.0	-0.110124	-0.0714783	0.012127295376	0.005109147370889999	0.00580471	-0.00397498	3.36946581841e-05	1.5800466000400002e-05	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9072.09764425168	20.024395899959927	82302955.66683689	400.97643115833193	10749.439318408253	-26.011177362001032	115550445.66014127	676.5813477574751	7184.320907790068	-0.2387382983970383	51614466.90610951	0.0569959751215133	7170.859505572683	10631.365120263768	0.819448	33.711566999999995	0.04188671	0.0365458	-0.0128046458	0.0687331485	0.046963457400000005	-0.056884053	0.0228005662	-0.0284504083	0.0371671862	0.0325647098	-0.0449363296	-0.0298901065	-0.0726749961	-0.0414501937	-0.07491484400000001	-0.0015626956	0.043566607	0.0853983207	-0.0210016321	-0.020777225700000002	0.0092503838	0.08042330730000001	0.0281931856	-0.042687820700000004	-0.0055240146	0.1146425741	-0.1031431984	0.005512049399999999	-0.0407488805	0.0506310811	-0.0862934868	0.0241970194	0.0472084274	-0.006602101	-0.05154864309999999	0.006236327900000001	0.0718306442	0.0034533117	-0.0254316381	0.0524454543	-0.0033963187	-0.028647317599999996	-0.0364216741	0.090635608	-0.0470237009	0.11227298449999999	0.030595883799999998	-0.050046232999999996	0.0329310237	0.1225985909	0.0178413279	-0.0789724609	-0.008792769300000001	0.050811605700000005	0.0198450971	-0.0809554301	0.042413405700000004	0.0566974987	0.0037189884999999996	0.032646305800000004	-0.0472257329	0.0862822867	-0.0228905275	-0.0840364571	-0.0283579603	-0.10016972789999999	0.007151138100000002	0.0568071979	-0.0232766418	-0.0463566523	0.018530041	0.020802495900000002	0.030403164	-0.0831374344	0.0549386401	-0.0804806602	-0.030287192	0.061422332999999996	-0.12167177359999999	0.0318840388	-0.0464744028	-0.09184589160000001	0.0502991141	-0.105193486	0.08735021039999999	-0.007288580500000002	0.1322902409	0.029865315299999997	-0.07143206349999999	0.128394874	0.0331033943	0.0280818613	0.0005029482	0.0969262028	-0.0064343798999999995	0.0896262092	0.0023381354	0.045000153700000003	0.011351591299999998	0.022521031400000002	-0.0004645437	0.013048461499999999	-0.038331818999999996	-0.0116214877	-0.017728479	-0.0254365537	-0.0028046774	-0.055666481	0.007882931999999999	-0.0787116572	0.014246116999999999	-0.0348163047	0.0489986179	-0.030828107200000007	-0.0270458748	-0.0908327634	0.0714154442	-0.0464005833	0.09773700560000001	0.0400268104	0.047746111900000006	0.0075291807999999984	0.1168777658	0.0089855988	0.0481356645	-0.039320869700000004	-0.030428050499999998	0.0160077409	0.08837116119999999	0.0326993478	-0.0615721917	0.0006986103	-0.0337166699	0.0535591969	0.066465501	-0.0300591506	-0.05734311	0.0005401172	0.025604726499999998	-0.1163725335	-0.0423641496	-0.0188655799	-0.0215162961	-0.0093334486	0.0118939983	-0.0122856331	0.1018867772	-0.0310024855	-0.0462839335	-0.0959231606	-0.09321030970000001	0.025784528199999997	0.1032152165	0.077293425	0.0151692052	-0.0101711278	-0.1596469704	0.10289712449999999	-0.0452343591	0.0051462391	0.0630606145	-0.07249130320000001	-0.1212208653	-0.0676804646	0.029025782599999998	0.0057538993	0.11725144189999999	0.0019226432	0.0685846693	-0.04631307269999999	0.038669474599999996	-0.0221769331	-0.0225297141	0.0122710586	0.0051981395	-0.0162663174	0.0230948242	-0.0546806459	-0.0052455727	0.09913991550000001	0.09805116529999999	0.09624542960000004	0.0	0.0	0.0	0.0	-0.146206	-0.036081999999999996	0.021376194435999998	0.0013019107240000002	0.0	-0.00580471	0.0	3.36946581841e-05	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
