global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	a_comp_cor_193	a_comp_cor_194	a_comp_cor_195	a_comp_cor_196	a_comp_cor_197	a_comp_cor_198	a_comp_cor_199	a_comp_cor_200	a_comp_cor_201	a_comp_cor_202	a_comp_cor_203	a_comp_cor_204	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04
9972.944990653776	n/a	99459631.78660624	n/a	10588.862455030116	n/a	n/a	112124008.09154642	7037.738743971167	n/a	49529766.62839287	n/a	7029.0929176225645	14134.078800271993	n/a	n/a	n/a	n/a	-0.1087175472	-0.081503827	0.2645444361	0.0837074175	-0.7554218272	0.0269138375	-0.0207153261	0.21494588829999997	-0.030362330899999998	0.11283950279999999	-0.1318906585	0.008571043399999999	-0.0805611761	0.0734481386	-0.0271088498	0.0705994169	-0.0325981477	0.006840685	-0.058479322599999994	0.05719935950000001	-0.10210996800000001	0.011446212800000001	-0.08449384199999999	0.038819221099999995	0.0088261701	-0.0725666551	0.13007631449999998	-0.0143236227	0.0157393422	-0.0808733007	0.0572437738	-0.0240576552	0.0338029274	-0.0028538003	0.0190080647	-0.0706658371	0.0123870272	-0.0459695175	0.0879034291	-0.0552229544	0.0238571067	-0.136577007	0.0119689951	-0.0962002973	0.045990374900000006	-0.0217976178	0.0760194001	-0.0953975059	0.3037519635	-0.0166480275	0.0282513698	-0.09144970949999999	0.0834042851	-0.0054394905000000006	-0.09574469619999999	0.0175539387	-0.0798982225	0.0573640883	-0.201773354	0.14433516	-0.0425953938	0.0676597265	-0.0128011942	0.0317472827	-0.021658422400000002	0.0222334772	-0.0638373182	0.043244433799999996	-0.057593016399999995	0.0175319632	-0.08823968019999999	-0.0287090019	0.013384678600000002	-0.057251995599999994	0.0820397405	-0.0376492347	-0.0109107061	-0.1379604127	0.0676962222	-0.0107444868	-0.042756587900000004	-0.06051762610000001	0.07752155349999999	-0.100653206	-0.0261932119	-0.0455319286	-0.0385700838	0.1003037703	0.0791833696	-0.0833227973	-0.09126499269999999	0.0878864826	0.18155425260000002	-0.12660583	-0.0348042148	0.028909347599999996	0.0367931711	0.0065596066	0.0166418327	-0.0547805675	-0.0337709096	0.1602712894	0.0666034858	0.0316774725	-0.009715158100000001	-0.0283611173	-0.0676245111	-0.0196923057	0.1460731133	0.0093101751	0.0159591111	0.09145355720000001	-0.0790828393	-0.042763776100000005	-0.0022404502	-0.0449341813	0.0165657102	0.0299225908	0.0089719831	0.0060736251000000005	-0.0639846322	-0.0266107998	-0.0721534064	0.0800381838	0.025370980699999997	-0.13537099689999998	0.030916947599999998	-0.0736790181	0.051928808	-0.0056178472	0.0662825617	-0.1741508655	0.32022103350000003	0.043584097	-0.0089935932	0.0710740518	-0.06961535719999999	0.0126911834	0.10532329259999999	-0.0983887411	0.1415360396	-0.1357406797	0.18025197739999999	-0.1039238178	0.026087615	-0.002533782	0.06805372280000001	-0.0195301744	0.0519683096	-0.0185448383	0.0461179406	-0.023248486800000003	0.0396192873	-0.0404147944	0.027661637700000002	-0.016551871399999998	-0.026429760299999997	0.048232658399999996	-0.1009780124	0.047675637300000004	0.0583169977	-0.1441280232	0.0504751912	0.1034068017	-0.0570556544	-0.0194357808	-0.0979760442	0.10745210779999999	-0.024995929700000002	-0.032580996200000004	-0.0400816897	0.06923088349999999	0.0440757732	0.058812013600000004	-0.0737653242	-0.1421390866	0.08907360519999999	0.1756246737	-0.0441100647	-0.011951932	-0.0382632997	0.025758745299999997	0.0186314764	0.0801588072	-0.0611581904	-0.1132834485	-0.057728264	0.029767871600000002	0.0456363146	0.0602811022	0.0652034096	-0.0525796773	-0.1466121741	0.08732749890000001	0.04640027099999999	0.0126640775	0.0035177570000000003	0.0936872359	0.051666619299999994	-0.0606711342	-0.0121902577	0.0412341264	0.0077844129	0.0208827274	0.023733215699999997	0.0695313563	-0.0817214967	-0.0575500554	0.0771621601	0.0995007106	0.09949168539999999	0.099476644	0.0	n/a	0.0	n/a	0.0127245	n/a	n/a	0.00016191290024999998	0.0739375	n/a	n/a	0.005466753906250001	0.0	n/a	n/a	0.0	-0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0	0.0
9910.548760556569	-62.39623009720708	98218976.73536934	3893.2895303436103	10172.62240627712	-416.24004875299585	173255.7781858963	103482246.6206913	7034.309150669384	-3.429593301783825	49481505.22719102	11.762110215640481	7022.252842949539	13763.262162770825	1.184599	42.555096	0.0258791	0.0239574	-0.066392534	-0.0712112035	0.2719720711	0.1216681642	-0.3399785669	-0.0189567481	0.1063431484	0.014539931899999999	-0.020502056100000002	-0.0661462724	-0.0629474003	0.112647192	0.095390843	-0.013194938100000001	0.0278607613	-0.0012539128	0.0490724687	0.0237993902	0.0089796277	-0.0700294867	-0.0423868672	-0.0198196101	-0.0005938218	-0.0708317852	0.0838559108	0.0818065983	-0.0970722524	0.1440195869	0.0846373596	0.1676489229	-0.0779017701	0.1438730705	-0.1137350445	-0.0585145107	0.012538518	0.0792487411	-0.0276224202	-0.0492989876	-0.091685394	0.1792428544	-0.0625989746	-0.1084011575	-0.011801831399999999	0.010006055	0.0826515578	-0.1017495633	0.0344485213	-0.055946692699999995	0.2765306078	-0.0352726152	0.1421927386	0.1414270917	0.0858683309	0.0655031263	-0.119963302	0.10728905429999999	-0.029749425299999997	-0.121952486	-0.0002104542	0.0416700075	0.011153663400000001	0.0361229232	-0.1662499856	-0.1080390535	0.0149030316	-0.2325389716	0.0130595339	0.0119010623	-0.1119717943	-0.0428710021	-0.0289600825	-0.0086704435	-0.0157244792	0.006475241	0.0335245565	0.0386027879	-0.0402436844	-0.0154100868	0.0118887489	0.0629648584	-0.0303711981	-0.1035314016	0.0798396896	0.0456301071	-0.061871539800000014	0.0335012561	-0.0396480814	-0.09217505699999999	-0.0663537052	-0.1161065282	0.039015389500000004	-0.0381144336	-0.0009672831	0.1310683141	-0.0071050952000000014	-0.0914607141	0.006990833100000001	-0.019355689199999998	0.0546378962	0.0599504941	0.0086834086	-0.0155698673	-0.0180642328	0.066494363	0.0320551184	-0.0682929771	-0.051706952	0.072467255	-0.0409738613	-0.0886072588	-0.06440179559999999	0.023348958399999998	0.0670884134	0.08449925009999999	-0.0374719046	-0.0342054728	0.0318852774	-0.005081465	0.0542302001	-0.0536224028	-0.0098145896	-0.0262690334	0.0439301722	-0.1349991742	-0.0427802637	-0.10328678820000001	0.0387121954	0.0529861625	0.0746305062	0.055054275599999994	0.0988658494	-0.07987467	0.2525762754	0.1399025106	-0.13802956289999999	-0.08607636939999999	-0.1328091149	-0.0926685874	0.044375057300000006	-0.1628977566	0.0017400457999999998	0.0638535263	0.0183376999	-0.036964104399999996	0.011612167	0.1373864078	-0.09473547019999999	0.0536354555	0.0051687673	-0.2487159189	-0.0365663127	0.0246293652	0.092948146	0.0365499994	0.0411643645	-0.0026042469	-0.030933446	0.0491002311	-0.040691488	0.0050963196	-0.00619804	-0.0013890946	-0.0205051963	0.0601463172	-0.0052605047	-0.0664805133	-0.0870722832	-0.0798931801	-0.0682364467	0.0179544455	-0.0313728162	-0.0610089237	0.098163944	-0.083762568	0.09844055619999999	0.007384630699999999	-0.0967967542	-0.0497132604	-0.023358369900000002	0.06974503259999999	0.0563963126	0.074433752	0.0093554772	0.0111026708	0.058257343899999994	0.023539538199999998	-0.0022379445	-0.0682236577	-0.017397810700000002	-0.0559704463	-0.10274988970000001	0.0346303991	0.0046468633	-0.0346887905	0.0194779041	0.09638665490000001	-0.0906479075	-0.0428597902	0.063705352	-0.0409325328	0.0016051695000000002	0.0744608628	0.0332946694	0.055683122599999996	-0.015270446100000001	-0.0152467726	0.1103268401	0.1002865236	-0.0336586686	0.099476644	0.0993954336	0.09926013199999999	0.0	0.0	0.0	0.0	0.0147303	0.0020058000000000003	4.023233640000002e-06	0.00021698173809	0.0978108	0.0238733	0.0005699344528899999	0.00956695259664	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9903.894218609115	-6.654541947453255	98087120.69339906	44.282928530414935	10065.132795728268	-107.48961054885149	11554.016375943767	101306898.19564477	7051.307716978441	16.998566309057427	49720940.51951972	288.95125656342213	7041.465766025591	13766.232662408132	1.3306129999999998	47.800449	0.019183900000000004	0.0153889	-0.0935394767	-0.10799680449999999	0.1509075044	0.193887389	-0.1450908241	0.0082334859	-0.05653373940000001	-0.0649876773	-0.09796017650000001	-0.0332985708	-0.15288729269999998	0.1035972706	-0.0160423549	-0.0468813021	-0.07581237860000001	-0.0765352502	-0.0591334734	0.11791223619999999	0.0234131881	0.0277733624	0.1445421867	-0.070038787	0.0580084474	0.075528947	0.0119402366	-0.0679153337	-0.1198489135	-0.025402037000000002	0.0524164158	-0.10466320929999999	0.0263443644	-0.1232713828	-0.0793515258	-0.1297966902	0.0285901783	-0.0029594634000000004	-0.040965447200000005	0.0606125391	0.0013443243	-0.05759063690000001	0.0980362983	0.0242777225	-0.1358065931	0.0446002588	0.13804050810000001	-0.0114101602	-0.1047599208	-0.061487810999999996	0.2267716911	-0.072130073	-0.1240932351	0.0587683131	-0.0646268864	0.0349153849	-0.0920765752	0.059682743600000004	-0.0193598623	0.17692651480000002	-0.1375774166	0.031158666600000006	-0.0827701832	0.1208304223	0.0211600809	0.0978866524	0.0053690369	-0.0165241213	-0.110790714	0.18941526690000002	-0.006261719200000001	-0.1517101643	0.0170787728	0.0788526776	-0.049689217	0.017167754	0.0103486225	-0.0302260681	-0.0348852936	-0.0215289625	0.091406736	-0.027825510699999997	0.006238317199999999	0.0451459366	-0.0047206340000000005	0.018800100900000002	-0.08775690480000001	-0.0797572284	-0.04415080230000002	-0.0467471292	-0.039922125600000004	0.022709728999999998	0.033333513700000005	-0.0428670147	0.0456681143	0.0464275121	-0.0841526933	-0.0182305159	0.0330435262	-0.024021689300000003	0.08593168429999999	-0.0218347025	0.0176709346	-0.0618130454	0.0389353354	-0.08810096960000001	0.0540686197	0.0897334428	0.1770721209	-0.07949348120000001	-0.1524790669	-0.0173205707	-0.1138128748	-0.0513851006	-0.0457856649	0.062783355	0.0433797779	-0.0581487443	-0.0914489265	0.0976904024	-0.1158483309	0.07240415509999999	-0.0171442441	-0.0292282523	0.0011265178	-0.042353809000000006	0.0526009276	0.0637666626	0.1349818938	0.0743862664	0.1259075719	0.08818330460000001	-0.0809355284	-0.1332260061	0.19787235	0.0758394859	0.12088358769999999	-0.10590977970000001	0.0576797686	-0.050628709	0.1151771248	-0.0710332775	-2.97128e-05	-0.1613793241	0.0893665621	-0.051044892	-0.057269080599999994	-0.060598968600000004	0.1434633451	-0.0854512108	0.014905904499999999	-0.0424482345	0.0407052493	-0.1602001485	-0.0068066576	0.1547429598	0.0549225388	-0.0593880708	0.0627150512	-0.0255047313	-0.0126674886	0.0387498551	0.0805425068	-0.0030698378000000004	0.0757485591	-0.0175701262	0.017839036000000003	0.0164029449	0.0019288532	-0.006277502	-0.0504112677	-0.0480497053	-0.0081929862	-0.014916576899999999	-0.027462639100000002	-0.0057021319999999995	0.057926923099999986	0.0396731972	-0.0617657636	0.042306635999999995	0.0342430402	0.0061603031	-0.0297033596	0.0836301509	-0.1313593332	0.0390873793	-0.0315169889	0.055121865199999995	0.090462747	-0.09258201210000001	-0.0673629609	-0.0589768949	0.0929964316	0.0676938861	0.182602419	-0.10836147880000001	-0.11649676630000001	0.026603848599999997	-0.01464875	0.023442192999999997	-0.1230152191	-0.0408713566	0.10613190880000001	-0.0824859966	-0.0640177471	0.096980353	0.0789330817	0.014602191100000004	0.0161484176	0.0057066231000000005	0.1236640037	0.0994285166	0.09920302310000001	0.09882757939999999	0.0	0.0	0.0	0.0	0.0	-0.0147303	0.00021698173809	0.0	0.0933572	-0.004453600000000002	1.9834552960000014e-05	0.00871556679184	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9893.677585574416	-10.216633034699043	97884856.16729762	104.3795905657038	9970.457431292249	-94.67536443601965	8963.424631093138	99410021.38921082	7037.334567499415	-13.973149479025777	49524077.81492218	195.2489063631984	7024.613226665765	13665.757105862287	1.489827	53.519989	0.2152871	0.167484	-0.0375256231	0.0408792452	0.24763652949999998	0.0006798232	-0.0339572418	-0.0453122543	0.16524489779999998	0.0446968453	-0.023708395299999997	0.045271020099999996	-0.12603766	0.1232790547	0.0412146257	-0.0865588518	-0.1050468715	-0.1201525842	-0.017267746	0.0441818136	0.1421955557	-0.009584793199999999	-0.0015296957999999998	-0.08164448099999999	0.0730652602	-0.0048142594	-0.0023336927	0.0883832408	-0.1541938493	-0.18935239760000008	-0.0523361767	0.009645894200000001	-0.048001227	-0.0357253308	0.0373602729	-0.014709204299999999	0.0887748533	-0.0241359707	0.0018051294	0.024569834500000002	-0.0014357779000000002	-0.1584797839	-0.0395120078	-0.019291855	0.11496210429999999	-0.09260445880000001	0.1542381634	-0.0012344209	-0.0418361992	-0.060053350400000004	0.2236248604	-0.055655002	0.08802086390000001	0.082251048	-0.071379586	0.0506867207	-0.0836032431	-0.0135427943	-0.1220962226	-0.0657051596	-0.1213558641	-0.0114402967	0.1095265071	-0.071915946	-0.0743133926	0.09706619949999999	0.0832672079	0.0723163364	0.13086362710000002	-0.0129580857	0.0711586111	0.0514936871	0.007537259	-0.1042167024	-0.0119236513	0.0196950411	0.0241010444	0.0164980494	-0.0348581548	0.0127044197	-0.0319489121	0.0082305339	0.024871145600000002	0.09096004320000001	0.007720907099999999	-0.0037634302000000004	0.022910834100000003	0.0267130335	-0.014442625800000001	-0.0970711934	-0.1398136193	0.0786399074	-0.22600507809999998	0.0133012384	0.048376703099999994	-0.0251953288	0.0329650889	0.0209371365	-0.028383097599999997	-0.0531029182	0.08316162349999999	-0.0583848109	0.0812132276	-0.0582530294	0.0631530349	-0.026939565899999997	-0.0401953726	-0.06311861	-0.0809574822	0.054501548899999995	-0.11405057060000001	0.0009026419999999999	-0.0230337204	-0.0827172188	0.029723140800000002	-0.042320825	-0.0564951821	0.0487808722	0.0943733677	0.0238881011	0.0380477214	-0.1298016084	0.0707107043	0.056191065400000004	0.0017513129999999998	-0.054581442699999996	0.0497022949	-0.0454693234	-0.1102058201	-0.0481724841	0.1599605305	0.0231809018	-0.008111594599999999	-0.0962201766	0.1934531643	0.1365244947	-0.09099956529999999	-0.08484320669999999	0.0367031125	-0.0578255354	0.0357448702	-0.060158915800000004	0.1105402156	-0.0086984252	0.0872095957	0.1300681634	0.0589092404	0.0439340471	-0.10250953460000001	-0.05771571	-0.0934509848	0.09781325199999999	-0.09616336439999999	-0.0265987538	-0.045410405300000005	-0.0749314814	-0.020181154	0.09173590220000001	-0.0414202184	-0.010324293299999999	-0.00986159	-0.0331683432	0.0372452047	0.0110379475	-0.027838217999999998	-0.0180189902	0.0363651109	0.0987966247	-2.9117e-05	0.0100946535	0.020176586399999998	-0.0790147331	-0.061376734	-0.0850324257	-0.1239492982	-0.16795864289999998	-0.05784635990000001	0.0396784917	0.1361176008	-0.0052074458	-0.0134594322	0.0593052415	-0.0565154734	0.036097773300000004	-0.12377061730000001	-0.023466263199999997	0.05923221190000001	-0.0714473041	0.0622229653	-0.0202753068	-0.0061944056	-0.0229113321	-0.0907804883	0.096151932	-0.021809507599999996	0.05650565730000001	0.0035268431	-0.0849042148	0.082581828	-0.14553644300000002	0.0078609124	-0.0043203072	-0.1043547659	0.0224662032	0.0577957322	0.02695384	-0.0796051966	-0.0779804492	0.0847898369	0.0306559302	0.048249941500000004	0.09935634019999999	0.0989146402	0.0981799275	0.0	0.0	0.0	0.0	0.165177	0.165177	0.027283441329	0.027283441329	0.065368	-0.02798920000000001	0.0007833953166400003	0.004272975423999999	-0.000442418	-0.000442418	1.9573368672400006e-07	1.9573368672400006e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9876.483072375057	-17.19451319935979	97544917.87891103	295.651284162958	9975.896636205727	5.439204913478534	29.584950090809027	99518513.69626077	7068.226558150742	30.891990651326523	49959826.67734748	954.3150864016452	7056.695333968521	13375.095249529077	2.193473	78.797539	0.25737580000000004	0.179854	-0.0398719847	-0.036847413100000004	-0.1077692654	0.3902282551	-0.0319604631	-0.0051713534	-0.05527322690000002	-0.0916426403	-0.0353659216	0.0171452599	-0.09685451369999999	0.1266435318	0.0574128468	0.10076853779999999	0.1612678013	0.028649097999999998	0.017826493	0.1703396411	0.1091835339	-0.16781437579999994	0.197280858	0.088791065	0.028776568500000002	0.1559824642	-0.0301693507	0.1690949762	0.00042780629999999997	0.0802682795	-0.0012528058000000001	-0.0056620833	-0.13575727810000002	-0.0137450618	0.023436566800000003	-0.0446055407	-0.09093330359999999	0.0518727	-0.121317638	0.099196345	-0.05686165150000001	0.026742720600000002	0.0785333092	0.11157946390000001	-0.1750033777	-0.0662335352	0.034487833100000004	-0.0199243764	0.0689564761	-0.1291477385	0.043083141	-0.0596139675	0.09964887509999999	-0.2810213059	-0.3768292316	-0.2257661597	-0.051247512300000006	0.23053653429999998	0.1786856192	0.1102214056	0.0790774549	-0.048045046900000006	0.01541997	-0.1735775441	-0.10791054859999999	0.043285309	-0.0900870557	-0.0711204446	-0.1702338704	0.0244539098	0.0525904746	0.1169992661	0.0527076891	-0.0349907655	-0.0326338117	-0.0315929848	0.0568831718	-0.0241737604	-0.03009718	0.08491500769999999	-0.019458356399999998	-0.0652261887	-0.017833189	0.0338474493	0.0103617481	0.0349167891	0.046398721	0.001309859	0.0387015496	-0.0737352263	0.0989022841	-0.0150957171	-0.046547053600000006	-0.0540334277	-0.045105918099999996	0.0761936027	0.1428667972	-0.0247021322	-0.0069338069	0.0003795481	0.0460873944	0.0671742206	-0.0713001599	-0.0330769916	0.0664159934	0.1250328865	-0.09519513730000001	0.0233812463	0.0055023411	0.0043024126000000005	0.11202631689999999	0.0092773681	0.05911481740000001	-0.0491529095	0.0921379495	-0.0323373212	0.0109403422	0.0815144941	0.0207299225	0.0359159677	0.0628320274	0.006190777299999999	0.1055413915	-0.024045217799999997	-0.0451302658	0.091476185	-0.09735298349999999	0.1276637264	0.14436028380000002	-0.0770753154	0.0445454516	-0.0408842077	0.09396174970000001	-0.1081276476	0.0256802013	0.1321183186	-0.0440334067	0.2369129581	0.440732426	0.17504914829999998	0.0156257946	-0.1333263582	-0.2689225824	0.0122634576	-0.024428755899999998	0.008467183	0.0394322317	-0.102996856	-0.1140811516	-0.0910090287	0.144265557	-0.09718307300000001	0.1428031587	-0.0425309952	-0.0343133589	-0.0244676441	-0.1440207843	0.0901439205	0.0347414765	-0.021050320299999998	-0.0846831703	-0.0009296399000000001	0.013520426299999999	0.0631874613	0.0040174659	-0.0925226259	0.0754618413	-0.027103537999999996	-0.0224841607	-0.034724980499999995	0.0563557579	-0.0191568725	0.07521809230000001	0.0012666100999999999	0.046370647599999995	-0.0235985187	-0.10132273060000001	0.0487294956	0.0152256386	-0.10509060140000001	-0.0660254257	0.0140050759	0.1115254361	0.022166673799999998	0.0069181436	-0.013718610400000001	0.048238254800000005	0.058018805300000004	0.0616253982	-0.021165076600000002	0.13143798880000002	0.0682917351	-0.0059817214	-0.08951449289999999	-0.09746388460000001	0.043834777699999994	-0.0162342343	0.0231490356	-0.0270981753	-0.064653949	0.054570376799999994	0.0959507342	-0.0140189378	-0.1050452307	0.14066277259999999	-0.0334031816	-0.0644088322	-0.0110708574	-0.0746569504	-0.0616724915	0.0216303502	0.09926013199999999	0.09853056369999999	0.097318586	0.0	0.0	0.0	0.0	0.0222757	-0.14290129999999998	0.020420781541689997	0.00049620681049	0.08326289999999999	0.01789489999999999	0.0003202274460099997	0.006932710516409998	-0.00237401	-0.001931592	3.7310476544640006e-06	5.635923480100002e-06	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
